('011100000', '000001110'): 4
('100010001', '000001110'): 6
('100100001', '000001110'): 4
('100110000', '000001110'): 0
('101000001', '000001110'): 4
('101010000', '000001110'): 0
('101100000', '000001110'): 4
('110000001', '000001110'): 6
('110010000', '000001110'): 6
('110100000', '000001110'): 6
('111000000', '000001110'): 4
('011110000', '000001111'): None
('101110000', '000001111'): None
('110110000', '000001111'): None
('111010000', '000001111'): None
('111100000', '000001111'): None
('000000001', '000010000'): 8
('000000010', '000010000'): 8
('000000100', '000010000'): 7
('000001000', '000010000'): 8
('000100000', '000010000'): 8
('001000000', '000010000'): 8
('010000000', '000010000'): 3
('100000000', '000010000'): 7
('000000110', '000010001'): 8
('000001010', '000010001'): 8
('000001100', '000010001'): 8
('000100010', '000010001'): 8
('000100100', '000010001'): 8
('000101000', '000010001'): 8
('001000010', '000010001'): 8
('001000100', '000010001'): 8
('001001000', '000010001'): 8
('001100000', '000010001'): 8
('010000010', '000010001'): 6
('010000100', '000010001'): 8
('010001000', '000010001'): 8
('010100000', '000010001'): 8
('011000000', '000010001'): 5
('100000010', '000010001'): 7
('100000100', '000010001'): 7
('100001000', '000010001'): 7
('100100000', '000010001'): 7
('101000000', '000010001'): 7
('110000000', '000010001'): 5
('000000101', '000010010'): 8
('000001001', '000010010'): 8
('000001100', '000010010'): 8
('000100001', '000010010'): 8
('000100100', '000010010'): 8
('000101000', '000010010'): 8
('001000001', '000010010'): 8
('001000100', '000010010'): 8
('001001000', '000010010'): 8
('001100000', '000010010'): 8
('010000001', '000010010'): 6
('010000100', '000010010'): 6
('010001000', '000010010'): 8
('010100000', '000010010'): 8
('011000000', '000010010'): 8
('100000001', '000010010'): 7
('100000100', '000010010'): 7
('100001000', '000010010'): 7
('100100000', '000010010'): 7
('101000000', '000010010'): 7
('110000000', '000010010'): 5
('000101100', '000010011'): 8
('001001100', '000010011'): 8
('001100100', '000010011'): 8
('001101000', '000010011'): 8
('010001100', '000010011'): 6
('010100100', '000010011'): 6
('010101000', '000010011'): 2
('011000100', '000010011'): 8
('011001000', '000010011'): 2
('011100000', '000010011'): 2
('100001100', '000010011'): 6
('100100100', '000010011'): 6
('100101000', '000010011'): 2
('101000100', '000010011'): 3
('101001000', '000010011'): 2
('101100000', '000010011'): 2
('110000100', '000010011'): 5
('110001000', '000010011'): 6
('110100000', '000010011'): 6
('111000000', '000010011'): 2
('000000011', '000010100'): 8
('000001001', '000010100'): 8
('000001010', '000010100'): 8
('000100001', '000010100'): 8
('000100010', '000010100'): 8
('000101000', '000010100'): 8
('001000001', '000010100'): 8
('001000010', '000010100'): 8
('001001000', '000010100'): 8
('001100000', '000010100'): 8
('010000001', '000010100'): 6
('010000010', '000010100'): 6
('010001000', '000010100'): 6
('010100000', '000010100'): 6
('011000000', '000010100'): 5
('100000001', '000010100'): 7
('100000010', '000010100'): 7
('100001000', '000010100'): 7
('100100000', '000010100'): 7
('101000000', '000010100'): 7
('110000000', '000010100'): 5
('000101010', '000010101'): 8
('001001010', '000010101'): 8
('001100010', '000010101'): 8
('001101000', '000010101'): 8
('010001010', '000010101'): 6
('010100010', '000010101'): 6
('010101000', '000010101'): 6
('011000010', '000010101'): 8
('011001000', '000010101'): 8
('011100000', '000010101'): 8
('100001010', '000010101'): 6
('100100010', '000010101'): 6
